category,feature_name,description,implementation,priority
품목별 통계량,item_mean,품목별 전체 기간 평균 무역량,item_stats_df의 mean 컬럼 사용,높음
품목별 통계량,item_std,품목별 전체 기간 표준편차,item_stats_df의 std 컬럼 사용,높음
품목별 통계량,item_cv,품목별 변동계수 (std/mean),item_stats_df의 cv 컬럼 사용,중간
품목별 통계량,item_zero_ratio,품목별 0인 월의 비율,item_stats_df의 zero_ratio 컬럼 사용,중간
상호작용 변수,lag_x_corr,lag와 상관계수의 곱 (관계 강도 × 시차),best_lag * abs(max_corr),높음
상호작용 변수,mean_ratio,후행 품목 평균 / 선행 품목 평균,follower_mean / (leader_mean + 1e-6),중간
상호작용 변수,std_ratio,후행 품목 표준편차 / 선행 품목 표준편차,follower_std / (leader_std + 1e-6),중간
시계열 통계량,b_ma6,후행 품목의 6개월 이동평균,pd.Series(b_series).rolling(6).mean(),높음
시계열 통계량,b_ma12,후행 품목의 12개월 이동평균,pd.Series(b_series).rolling(12).mean(),중간
시계열 통계량,b_std3,후행 품목의 3개월 이동표준편차,pd.Series(b_series).rolling(3).std(),높음
시계열 통계량,b_range3,후행 품목의 3개월 범위 (max - min),pd.Series(b_series).rolling(3).max() - pd.Series(b_series).rolling(3).min(),중간
Count Encoding,leader_nonzero_count,선행 품목의 0이 아닌 월 개수,count_df의 nonzero_month_count 사용,중간
Count Encoding,follower_nonzero_count,후행 품목의 0이 아닌 월 개수,count_df의 nonzero_month_count 사용,중간
